source_folder,source_file,family,system_label,refrigerant,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,pcrit_Pa,tcrit_K,Aref_m2,Cd_true,dataset_sha256
Daten LOGIN,fixed_data_simple_35_R290_R600a_82_18.pkl,35_R290_R600a_82_18,simple,R290_R600a_82_18,0.1970435471663623,0.015919399595120395,1.790407727675253,3.2155163099104365e-06,1.2395138740539609,6580.300912857056,6.580300912857056,1086418.45703125,233131.4086914063,853287.0483398438,6.053337926864624,302.98070762389955,498.6945356819341,4330449.084026184,380.2491350691448,2.544690049407732e-06,88.640252194613,6c5d9ec76a40345ca06ae527c40555646bc3288edd55468ba87ef010a79bbd11
Daten LOGIN,fixed_data_simple_35_R290_R600a_82_18.pkl,35_R290_R600a_82_18,simple,R290_R600a_82_18,0.18838020219025048,0.018145517546122106,1.7688599812621888,3.0846776122358796e-06,1.5537790060043322,8515.09630203247,8.515096302032472,1112111.81640625,296340.9423828125,815770.8740234375,6.899817352294922,303.1210859986103,498.5510046198705,4330449.084026184,380.2491350691448,2.544690049407732e-06,117.32775993833513,6c5d9ec76a40345ca06ae527c40555646bc3288edd55468ba87ef010a79bbd11
Daten LOGIN,fixed_data_simple_35_R290_R600a_82_18.pkl,35_R290_R600a_82_18,simple,R290_R600a_82_18,0.16902018113412673,0.019388756672510447,1.7608546526497748,3.0366724273449386e-06,2.0000452995300297,11357.567634582512,11.357567634582512,1121906.73828125,389973.44970703125,731933.2885742188,7.372557954788208,303.02020507803854,498.74190640262543,4330449.084026184,380.2491350691448,2.544690049407732e-06,165.18163559157867,6c5d9ec76a40345ca06ae527c40555646bc3288edd55468ba87ef010a79bbd11
Daten LOGIN,fixed_data_simple_35_R600a.pkl,35_R600a,simple,R600a,0.09973134440014468,0.019000783431960776,2.465679144951967,9.64095486246252e-06,1.2366015911102297,4657.330198287964,4.657330198287964,497075.1953125,135150.14648437494,361925.04882812506,7.748842496871948,302.89445236669314,544.8563403519056,3629000.0,407.817,2.544690049407732e-06,92.15880084534903,1dd9668ae0440c1dd0ce084798cdbad7855b964c18db62de77e364b9632b59c2
Daten LOGIN,fixed_data_simple_35_R600a.pkl,35_R600a,simple,R600a,0.08867017294494008,0.019787671717034785,2.44242914845295,9.399917662723206e-06,1.7080054283142092,6366.380376815795,6.366380376815795,505673.82812500006,183889.7705078125,321784.05761718756,8.069748916625976,303.2167884135585,544.455660516235,3629000.0,407.817,2.544690049407732e-06,133.65314210556335,1dd9668ae0440c1dd0ce084798cdbad7855b964c18db62de77e364b9632b59c2
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.3696409393178811,0.016055187175046073,1.619603992884652,1.0812414307345602e-06,1.6371064329147351,13697.907619476327,13.697907619476327,1457697.75390625,207498.1689453125,1250199.5849609375,5.905900602340699,322.0370483179229,997.9773060792634,3382200.0,367.85,2.544690049407732e-06,107.75919429608699,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.35612052072476863,0.016497671706238663,1.6098919343834779,1.0533507232771022e-06,2.1433272361755384,18813.363304138184,18.813363304138186,1472912.59765625,268441.77246093756,1204470.8251953125,6.068668537139892,322.3226327881927,996.7914382860051,3382200.0,367.85,2.544690049407732e-06,150.87464485470107,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.3349848737046153,0.018190373514954998,1.598960807473889,1.022381594002589e-06,2.73890233039856,25446.474876403805,25.446474876403805,1490322.265625,357336.42578125,1132985.83984375,6.691328897476196,322.208745678859,997.5747335127112,3382200.0,367.85,2.544690049407732e-06,210.32591007769875,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_55_R1270.pkl,55_R1270,simple,R1270,0.40332922323082465,0.011755031281207596,1.3671389220985009,8.798923519299103e-07,1.3999999761581408,9433.971614837646,9.433971614837647,2226054.6875,388890.07568359375,1837164.6118164062,4.2813116979599,322.6796106571505,459.97048409959876,4555000.0,364.211,2.544690049407732e-06,90.17905044334226,f796b9c08cffcdcbea4cbd414f96c7e0eebdf22decebc8f5d82a86dd172498fb
Daten LOGIN,fixed_data_simple_55_R1270.pkl,55_R1270,simple,R1270,0.384808436706744,0.013203510817218928,1.3593172978312775,8.549829639078868e-07,1.7333325147628786,12585.581073760983,12.585581073760983,2251406.25,498603.82080078137,1752802.4291992188,4.808863878250123,322.69438006440816,460.09790813737015,4555000.0,364.211,2.544690049407732e-06,123.1492495448702,f796b9c08cffcdcbea4cbd414f96c7e0eebdf22decebc8f5d82a86dd172498fb
