r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.633549901157417,1,0,x2*(x1*x2 + x1 + 2*x2 - x4 + x5),"mul,x2,add,add,add,add,sub,mul,x2,x1,x4,x1,x2,x5,x2",0.334555390144076,0.334555390144076,False,pi2*(pi1*pi2 + pi1 + 2*pi2 - pi4 + pi5),π₂⋅(π₁⋅π₂ + π₁ + 2⋅π₂ - π₄ + π₅),Aref_m2 * (pi2*(pi1*pi2 + pi1 + 2*pi2 - pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6304372463747133,1,0,(x2*x3*x5*(-x2 + x3) + x4)/x3,"div,add,mul,mul,mul,sub,x3,x2,x3,x2,x5,x4,x3",0.3436312578805005,0.3436312578805005,False,(pi2*pi3*pi5*(-pi2 + pi3) + pi4)/pi3,"π₂⋅π₃⋅π₅⋅(-π₂ + π₃) + π₄
────────────────────────
           π₃           ",Aref_m2 * ((pi2*pi3*pi5*(-pi2 + pi3) + pi4)/pi3) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6246358783786083,1,0,x4 + x2*x5/(3*x1),"add,x4,mul,div,x2,add,add,x4,add,sub,x1,x4,x1,x1,x5",0.3611201035998733,0.3611201035998733,False,pi4 + pi2*pi5/(3*pi1),"     π₂⋅π₅
π₄ + ─────
      3⋅π₁",Aref_m2 * (pi4 + pi2*pi5/(3*pi1)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6210787927067091,1,0,x2*x5**2/(x5 + x2/x1),"mul,x2,mul,x5,div,x5,add,x5,div,x2,x1",0.3722240451067963,0.3722240451067963,False,pi2*pi5**2/(pi5 + pi2/pi1),"      2
 π₂⋅π₅ 
───────
     π₂
π₅ + ──
     π₁",Aref_m2 * (pi2*pi5**2/(pi5 + pi2/pi1)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6150761388862845,1,0,x2*(x5 - x2/x1),"mul,sub,x5,div,mul,x3,div,x2,x1,x3,x2",0.3916443882932067,0.3916443882932067,False,pi2*(pi5 - pi2/pi1),"   ⎛     π₂⎞
π₂⋅⎜π₅ - ──⎟
   ⎝     π₁⎠",Aref_m2 * (pi2*(pi5 - pi2/pi1)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.599804910400977,1,0,x2*(x1 + x3)*(-x2 + x5) - x2,"sub,mul,mul,x2,sub,x5,x2,add,x1,x3,x2",0.4451675273928221,0.4451675273928221,False,pi2*(pi1 + pi3)*(-pi2 + pi5) - pi2,π₂⋅(π₁ + π₃)⋅(-π₂ + π₅) - π₂,Aref_m2 * (pi2*(pi1 + pi3)*(-pi2 + pi5) - pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.5980319390716733,1,0,x2*(-x3**2*(x2 + x4) + x3/x4 + x5),"mul,sub,add,div,x3,x4,x5,mul,mul,add,x2,x4,x3,x3,x2",0.4517876300358002,0.4517876300358002,False,pi2*(-pi3**2*(pi2 + pi4) + pi3/pi4 + pi5),"   ⎛    2             π₃     ⎞
π₂⋅⎜- π₃ ⋅(π₂ + π₄) + ── + π₅⎟
   ⎝                  π₄     ⎠",Aref_m2 * (pi2*(-pi3**2*(pi2 + pi4) + pi3/pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.5962756848920658,1,0,x2*(-x2 + x3*x5),"mul,x2,sub,mul,x3,x5,x2",0.4584327261704028,0.4584327261704028,False,pi2*(-pi2 + pi3*pi5),π₂⋅(-π₂ + π₃⋅π₅),Aref_m2 * (pi2*(-pi2 + pi3*pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.5794801409133352,1,0,x2*(-x1 + x3 + x5),"mul,x2,add,x5,sub,sub,x4,x4,sub,x1,x3",0.5266182509336577,0.5266182509336577,False,pi2*(-pi1 + pi3 + pi5),π₂⋅(-π₁ + π₃ + π₅),Aref_m2 * (pi2*(-pi1 + pi3 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.5790692523702394,1,0,x2*x3*(-x4*(-x2 + x3) + x5),"mul,mul,sub,x5,mul,x4,sub,sub,x3,sub,x2,x3,x3,x2,x3",0.5283969364510159,0.5283969364510159,False,pi2*pi3*(-pi4*(-pi2 + pi3) + pi5),π₂⋅π₃⋅(-π₄⋅(-π₂ + π₃) + π₅),Aref_m2 * (pi2*pi3*(-pi4*(-pi2 + pi3) + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
